Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Medical,Recruiting,Game Expenses and Travel,Coaches Compensation,Athletic Student Aid,Total Revenues,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees,Ticket Sales
California State University-Fresno,110556,2006,Football Bowl Subdivision,Western Athletic Conference,25634086,492180,375528,4154862,6163868,3237860,27096524,1788240,6558366,777500,8545065
California State University-Fresno,110556,2007,Football Bowl Subdivision,Western Athletic Conference,25871953,609704,402701,3573525,5916081,3351788,26646547,2215327,4916881,1366745,9167221
California State University-Fresno,110556,2008,Football Bowl Subdivision,Western Athletic Conference,28856248,702062,408552,4210625,6747113,3462544,27530567,1982515,5365866,1130384,9139442
California State University-Fresno,110556,2009,Football Bowl Subdivision,Western Athletic Conference,28645243,565781,356185,4233580,7479770,3734046,29833531,2440366,5033063,1388030,9026578
California State University-Fresno,110556,2010,Football Bowl Subdivision,Western Athletic Conference,26690524,507641,284100,3594714,7016278,4313246,26648661,2189893,5300595,953090,7641089
California State University-Fresno,110556,2011,Football Bowl Subdivision,Western Athletic Conference,28838967,734263,286374,3583496,7304992,4775141,30190480,2408172,7171450,360030,8155890
California State University-Fresno,110556,2012,Football Bowl Subdivision,Western Athletic Conference,30174803,713908,333703,3974034,7402425,4881199,30724143,2487510,4837156,1683467,6545238
California State University-Fresno,110556,2013,Football Bowl Subdivision,Mountain West Conference,33050314,628435,408090,4872898,8070594,4884376,33734773,2510942,4823268,1250035,6878575
California State University-Fresno,110556,2014,Football Bowl Subdivision,Mountain West Conference,36436560,589144,484202,5752808,8996746,5137989,36038183,3191754,4866282,525700,7891714
California State University-Fresno,110556,2015,Football Bowl Subdivision,Mountain West Conference,41535096,1548007,568263,5382488,9138530,5556635,39073736,3030832,6276000,1186452,7802993
California State University-Fresno,110556,2016,Football Bowl Subdivision,Mountain West Conference,44055912,1597786,622555,6059192,9487858,6578209,44804147,3113190,9155151,1004676,5368827
California State University-Fresno,110556,2017,Football Bowl Subdivision,Mountain West Conference,44119522,1698283,676698,5445276,10714289,7044932,46215249,3443322,9601295,1075140,5119849
California State University-Fresno,110556,2018,Football Bowl Subdivision,Mountain West Conference,51050676,1782138,647539,7377537,12251013,7811164,50636750,3582959,8837259,2674961,6204440
Central Michigan University,169248,2005,Football Bowl Subdivision,Mid-American Conference,16735819,356400,386884,973946,3208173,3246816,16735819,127116,1106807,703400,484718
Central Michigan University,169248,2006,Football Bowl Subdivision,Mid-American Conference,17476651,303502,409771,1172770,3223867,3568522,17759667,463849,971664,619450,614863
Central Michigan University,169248,2007,Football Bowl Subdivision,Mid-American Conference,20283635,260425,416876,1572987,3722605,4017471,20434174,787793,1320998,1137750,852761
Central Michigan University,169248,2008,Football Bowl Subdivision,Mid-American Conference,21636204,290983,400908,1995642,3936132,4106655,21103460,821569,1470998,1244300,881111
Central Michigan University,169248,2009,Football Bowl Subdivision,Mid-American Conference,22418292,356635,426263,2420993,4074845,4599370,22224245,934361,1226723,1313750,1344708
Central Michigan University,169248,2010,Football Bowl Subdivision,Mid-American Conference,24104699,381451,502429,2307562,4583736,4596393,24703101,1075459,1071654,1562950,1143383
Central Michigan University,169248,2011,Football Bowl Subdivision,Mid-American Conference,23423660,344912,497926,1895846,4458767,4665580,23500552,1158145,1110601,1467000,798738
Central Michigan University,169248,2012,Football Bowl Subdivision,Mid-American Conference,25738861,354730,567194,2111905,4880242,4888054,25738861,1009779,1248457,1842000,692374
Central Michigan University,169248,2013,Football Bowl Subdivision,Mid-American Conference,27187504,431596,519050,2478162,5239305,4990221,27680624,1021353,1024984,1323976,1843389
Central Michigan University,169248,2014,Football Bowl Subdivision,Mid-American Conference,29281777,399679,666788,2783098,5343876,5509684,29281777,265700,1253633,2829750,691173
Central Michigan University,169248,2015,Football Bowl Subdivision,Mid-American Conference,28491818,331216,699195,2727427,5619418,5344132,27862443,546929,2066634,554784,709730
Central Michigan University,169248,2016,Football Bowl Subdivision,Mid-American Conference,29618926,363255,639925,3228738,6082390,5535288,31151419,543455,1774258,1192000,724471
Central Michigan University,169248,2017,Football Bowl Subdivision,Mid-American Conference,31792125,361315,520073,4025075,6203506,5862595,34692784,685021,2138657,973300,896919
Central Michigan University,169248,2018,Football Bowl Subdivision,Mid-American Conference,32540008,499988,549165,4101508,6506300,6387466,39989495,556792,1877957,1158500,632604
Clemson University,217882,2005,Football Bowl Subdivision,Atlantic Coast Conference,39977199,532423,720091,3998167,7145096,6083034,40445377,1356704,9377793,1473514,13422924
Clemson University,217882,2006,Football Bowl Subdivision,Atlantic Coast Conference,46863188,373059,814886,6880656,8003735,7062769,46430106,2733825,8830649,1394402,14716363
Clemson University,217882,2007,Football Bowl Subdivision,Atlantic Coast Conference,54249905,395047,891728,5923751,8381893,7574331,56028881,3155951,11072416,1298960,20909265
Clemson University,217882,2008,Football Bowl Subdivision,Atlantic Coast Conference,60050712,529315,1081669,6369459,11076866,8749849,59180652,2929444,14109137,1414151,21097510
Clemson University,217882,2009,Football Bowl Subdivision,Atlantic Coast Conference,61972760,410309,1018411,6205576,9128042,9328086,61416494,3662144,13468425,3161063,21279844
Clemson University,217882,2010,Football Bowl Subdivision,Atlantic Coast Conference,56780518,499895,1058628,6831307,10936282,10003301,57562999,3213036,14988354,570754,19877413
Clemson University,217882,2011,Football Bowl Subdivision,Atlantic Coast Conference,58367884,391133,1069565,6913221,11680412,10425599,61174977,4279155,14171740,1007500,20736842
Clemson University,217882,2012,Football Bowl Subdivision,Atlantic Coast Conference,67783797,437995,1176718,8667362,14614380,10939865,70002280,4407240,16711479,263450,21046603
Clemson University,217882,2013,Football Bowl Subdivision,Atlantic Coast Conference,67091087,498301,1299872,8247089,13372704,11239631,69061398,4777101,13972191,2304793,21942566
Clemson University,217882,2014,Football Bowl Subdivision,Atlantic Coast Conference,73456221,633310,1473484,10062063,15474254,13006287,74793322,4777290,19264308,254000,19984515
Clemson University,217882,2015,Football Bowl Subdivision,Atlantic Coast Conference,82855674,766763,1713107,8311675,15690111,12988394,83534371,8104902,19970685,301760,21889774
Clemson University,217882,2016,Football Bowl Subdivision,Atlantic Coast Conference,103059980,529483,1867325,17045488,17691803,15364538,104823057,9529399,35639063,0,23537134
Clemson University,217882,2017,Football Bowl Subdivision,Atlantic Coast Conference,111126235,492827,1985838,17141487,19089916,16682991,112600964,11514471,33782757,2000,25960272
Clemson University,217882,2018,Football Bowl Subdivision,Atlantic Coast Conference,118847123,590917,2804471,13097206,24672825,16648982,120532975,13616788,40512301,70000,27649598
Coastal Carolina University,218724,2005,Football Championship Subdivision,,10857118,139314,137404,678487,1820051,3250502,11045399,227315,707841,144267,346293
Coastal Carolina University,218724,2006,Football Championship Subdivision,,13058924,142787,196064,730802,2139564,3933599,13058924,318712,1152122,178400,324691
Coastal Carolina University,218724,2007,Football Championship Subdivision,,15162840,123488,190850,1165181,2423084,4476293,15276286,331821,697955,170250,435210
Coastal Carolina University,218724,2008,Football Championship Subdivision,,16910542,170670,275059,1413972,3053263,4749214,17239624,431391,681714,170500,423300
Coastal Carolina University,218724,2009,Football Championship Subdivision,,17849304,184324,344739,1496805,3277103,5139330,17826356,413156,525486,553616,357858
Coastal Carolina University,218724,2010,Football Championship Subdivision,,18492619,211567,352966,1405296,3249469,5383905,18382201,174285,727516,656456,321532
Coastal Carolina University,218724,2011,Football Championship Subdivision,,19070302,228743,410914,1446200,3522069,5808603,18984764,599406,871020,426162,349530
Coastal Carolina University,218724,2012,Football Championship Subdivision,,22174271,268129,476029,1474142,3692703,6233556,22292597,687127,1001828,750000,392888
Coastal Carolina University,218724,2013,Football Championship Subdivision,,22190005,320077,487028,1807926,4097647,6478877,22314234,881368,778572,544750,459769
Coastal Carolina University,218724,2014,Football Championship Subdivision,,23829311,319018,499582,2265034,4293275,7099713,23374712,729691,1135630,536000,470636
Coastal Carolina University,218724,2015,Football Championship Subdivision,,25119220,165881,470357,2058259,4571402,7274228,25872141,803631,1160206,372000,624752
Coastal Carolina University,218724,2016,Football Championship Subdivision,,27336685,154513,502563,2434505,5009826,7608635,26584253,659694,1214936,294566,629080
Coastal Carolina University,218724,2017,Football Bowl Subdivision,Sun Belt Conference,33704483,122883,565120,3595153,5553763,8621818,33703994,1171379,1040710,153000,792591
Coastal Carolina University,218724,2018,Football Bowl Subdivision,Sun Belt Conference,36455190,79920,649786,4273347,6484248,8469269,36392897,1043408,2568459,1602500,1043197
Colorado State University,126818,2005,Football Bowl Subdivision,Mountain West Conference,18012178,179087,309098,2265916,3415932,3725544,19043174,1457432,2475591,1008789,2476240
Colorado State University,126818,2006,Football Bowl Subdivision,Mountain West Conference,19891653,359006,330435,2323549,3574582,4008660,19350746,1847380,2737868,702115,2748331
Colorado State University,126818,2007,Football Bowl Subdivision,Mountain West Conference,20313040,299220,307621,2315574,3716238,4195323,21740500,2227508,2883977,289494,3506357
Colorado State University,126818,2008,Football Bowl Subdivision,Mountain West Conference,23953191,351970,421366,2618344,4713709,4883542,23759185,2797511,2280538,12930,3651833
